nom_leg,nombres
Guadalupe Gabriela Castilla García,guadalupe gabriela castilla garcía
Guadalupe Isadora Santivañez Rios,guadalupe isadora santivañez rios
Guadalupe Nalleli Román Lira,guadalupe nalleli román lira
Guadalupe Osorno Maldonado,guadalupe osorno maldonado
Guadalupe Tejocote González,guadalupe tejocote gonzález
Gudlño Corro Gustavo,gudlño corro gustavo
Guillermo Aguirre Fonseca,guillermo aguirre fonseca
Guillermo Barreda Gaxiola,guillermo barreda gaxiola
Guillermo Galland Guerrero,guillermo galland guerrero
Guillermo Romo Méndez,guillermo romo méndez
Guillermo Torres López,guillermo torres lópez
Guillermo Ulises Ruiz Esparza de Alba,guillermo ulises ruiz esparza de alba
Gustavo Alfaro Ontiveros,gustavo alfaro ontiveros
Gustavo Díaz Sánchez,gustavo díaz sánchez
Gustavo Marín Antonio,gustavo marín antonio
Gustavo Martínez Aguirre,gustavo martínez aguirre
Gustavo Uribe Góngora,gustavo uribe góngora
Gutiérrez de Velasco Hoyos José Ramón ,gutiérrez de velasco hoyos josé ramón 
Guzmán Avllés Joaquín Rosendo,guzmán avllés joaquín rosendo
Hector  Magaña Lara,hector  magaña lara
Hector Alejandro Hermosillo Gonzalez,hector alejandro hermosillo gonzalez
Héctor Antonio Astudillo Flores,héctor antonio astudillo flores
Héctor Apreza Patrón,héctor apreza patrón
Héctor David Alarid Rodríguez,héctor david alarid rodríguez
Héctor Eduardo Alonso Granados,héctor eduardo alonso granados
Héctor Eduardo Vela Valenzuela,héctor eduardo vela valenzuela
Héctor Hernández Silva,héctor hernández silva
Héctor Hugo Avitia Corral,héctor hugo avitia corral
Héctor Hugo Hernández Rodríguez,héctor hugo hernández rodríguez
Héctor Insúa García,héctor insúa garcía
Hector Israel Ortiz Ortiz,hector israel ortiz ortiz
Hector Iván Magaña Rentería,hector iván magaña rentería
Héctor Miguel Bautista López,héctor miguel bautista lópez
Héctor Pedraza Olguín,héctor pedraza olguín
Héctor Pedroza Jiménez,héctor pedroza jiménez
Héctor Saúl Tellez Hernández,héctor saúl tellez hernández
Héctor Vega Nevárez,héctor vega nevárez
Héctor Vicario Castrejón,héctor vicario castrejón
Héctor Zirahuén Pastor Alvarado,héctor zirahuén pastor alvarado
Heriberto Leal Valencia,heriberto leal valencia
Heriberto Ramírez Martínez,heriberto ramírez martínez
Herlinda Vazquez Munguía,herlinda vazquez munguía
Herminio Manuel Cuevas Chavez,herminio manuel cuevas chavez
Hernández Hernández Carlos Ernesto,hernández hernández carlos ernesto
Herrera Dagdug José Sabino,herrera dagdug josé sabino
Herrera Sánchez  José del Carmen,herrera sánchez  josé del carmen
Herrera Torruco Noé Daniel,herrera torruco noé daniel
Hever Quezada Flores,hever quezada flores
Higinio Chávez García,higinio chávez garcía
Higinio Martínez Miranda,higinio martínez miranda
Hilda Alcira Chang Valenzuela,hilda alcira chang valenzuela
Hilda Angélica Falliner Silva,hilda angélica falliner silva
Hilda Graciela Pérez Luis,hilda graciela pérez luis
Hilda Santos Padrón,hilda santos padrón
Horacio Antonio Mendoza,horacio antonio mendoza
Horacio Duarte Olivares,horacio duarte olivares
Horacio Trejo Badillo,horacio trejo badillo
HORTENCIA ZUÑIGA TORRES,hortencia zuñiga torres
Hortensia Aragón Castillo,hortensia aragón castillo
Hugo Alejo Domínguez,hugo alejo domínguez
Hugo Andrés Hernández Vargas,hugo andrés hernández vargas
Hugo Contreras Zepeda,hugo contreras zepeda
Hugo Francisco Pérez Moreno,hugo francisco pérez moreno
Hugo González Saavedra,hugo gonzález saavedra
Hugo Mauricio Pérez Anzueto,hugo mauricio pérez anzueto
Hugo Rene Esparza Hermosillo,hugo rene esparza hermosillo
Hugo Rodríguez Díaz,hugo rodríguez díaz
Humberto Agustín Macías Romero,humberto agustín macías romero
Humberto Alejandro Lugo Guerrero,humberto alejandro lugo guerrero
Humberto Cortés Sevilla,humberto cortés sevilla
Humberto Cuahutle Tecuapacho,humberto cuahutle tecuapacho
Humberto Jesús Robles Pompa,humberto jesús robles pompa
Humberto Manuel Cauich Jesús,humberto manuel cauich jesús
Ignacia Molina Villareal,ignacia molina villareal
Ignacio Basilio García,ignacio basilio garcía
Ignacio García Fierros,ignacio garcía fierros
Ignacio Ramírez Sánchez,ignacio ramírez sánchez
Ileana Jannette Herrera Perez,ileana jannette herrera perez
Imelda Castro Castro,imelda castro castro
Imelda Cuellar Cano,imelda cuellar cano
Imelda Irene Beltrán Amaya,imelda irene beltrán amaya
Ingram Vallines Ana Guadalupe,ingram vallines ana guadalupe
Inocencio Chavez Reséndiz,inocencio chavez reséndiz
Irad Mercado Ávila,irad mercado ávila
Iraís Francisca González Melo,iraís francisca gonzález melo
Irazema Gonzalez Martínez Olivares,irazema gonzalez martínez olivares
Irene Buendía Balderas,irene buendía balderas
Iris Aguirre Borrego,iris aguirre borrego
Iris Fernanda Sánchez Chiu,iris fernanda sánchez chiu
Irma de Anda Licea,irma de anda licea
Irma Guadalupe Moreno Ovalles,irma guadalupe moreno ovalles
Irma Leticia González Sánchez,irma leticia gonzález sánchez
Irma Leticia Tirado Sandoval,irma leticia tirado sandoval
Irving Adrián Granada Castro,irving adrián granada castro
ISABEL ANCHEITA PALACIOS,isabel ancheita palacios
Isabel Priscila Vera Hernández,isabel priscila vera hernández
Isabel Rodríguez Cordoba,isabel rodríguez cordoba
Isabel Villers Aispuro,isabel villers aispuro
Isaías Aguilar Gómez,isaías aguilar gómez
Isaías Cortés Berumen,isaías cortés berumen
Isaías Pliego Mancilla,isaías pliego mancilla
Isidoro Bazaldúa Lugo,isidoro bazaldúa lugo
Isidro Duarte Cabrera,isidro duarte cabrera
Ismael Arias López,ismael arias lópez
Ismael del Toro Castro,ismael del toro castro
Ismael Gadoth Tapia Benítez,ismael gadoth tapia benítez
Ismael Solís Mares,ismael solís mares
Ismael Vázquez López,ismael vázquez lópez
Israel Betanzos Cortés,israel betanzos cortés
Israel Fierro Terrazas,israel fierro terrazas
Israel Reyes ledesma Magaña,israel reyes ledesma magaña
Israel Soto Peña,israel soto peña
ITZEL FRANCISCA DE LEON VILLARD,itzel francisca de leon villard
Iván Alejandro Sánchez Nájera,iván alejandro sánchez nájera
Iván Conrado Camacho Moreno,iván conrado camacho moreno
Iván de Santiago Beltrán,iván de santiago beltrán
Iván Pachuca Domínguez,iván pachuca domínguez
Iván Texta Solïs,iván texta solïs
Ivette Topete Garcia,ivette topete garcia
J. Carmen Corona Pérez,j. carmen corona pérez
J. Dolores López Guzmán,j. dolores lópez guzmán
J. Eleazar Centeno Ortiz,j. eleazar centeno ortiz
J. Guadalupe Hernández Ríos,j. guadalupe hernández ríos
J. Jesus Llamas Contreras,j. jesus llamas contreras
J. Jesus Martínez Martínez,j. jesus martínez martínez
J. Jesús Rangel de Lira,j. jesús rangel de lira
J. Marco Antonio Miranda Mazcorro,j. marco antonio miranda mazcorro
J.Jesus Oviedo Herrera,j.jesus oviedo herrera
J.Luis Fernando Muñoz López,j.luis fernando muñoz lópez
Jacobo David Cheja Alfaro,jacobo david cheja alfaro
Jaime Alberto Ochoa Amorós,jaime alberto ochoa amorós
Jaime Muñoz Morfín,jaime muñoz morfín
Jaime Piñón Valdivia,jaime piñón valdivia
Jaime Valenzuela Hernández,jaime valenzuela hernández
Janet Adriana Hernández Sotelo,janet adriana hernández sotelo
Janeth García Cruz,janeth garcía cruz
Janini Guadalupe Casanova García,janini guadalupe casanova garcía
Jany Robles Ortiz,jany robles ortiz
JAQUELINE DEL RÍO LÓPEZ,jaqueline del río lópez
Javier Amador de la Fuente,javier amador de la fuente
Javier Antonio Enríquez  Orozco,javier antonio enríquez  orozco
Javier Antonio Neblina Vega,javier antonio neblina vega
Javier César Barroso Sánchez,javier césar barroso sánchez
Javier Dagnino Escobosa,javier dagnino escobosa
Javier Francisco Barrera Pacheco,javier francisco barrera pacheco
Javier González Saavedra,javier gonzález saavedra
Javier Ortega Vila,javier ortega vila
Javier Salinas Narváez,javier salinas narváez
Javier Torres Rodríguez,javier torres rodríguez
Javier Velásquez Guzmán,javier velásquez guzmán
Javier Villarreal Gámez,javier villarreal gámez
Jefte Méndez Hernández,jefte méndez hernández
Jerónimo Alejandro Ojeda Anguiano,jerónimo alejandro ojeda anguiano
Jesús Alberto Valenciano García,jesús alberto valenciano garcía
JESUS ALEJO ORANTES RUIZ,jesus alejo orantes ruiz
Jesus Antonio Becerril Gasca,jesus antonio becerril gasca
Jesús Antonio Marcial Liparoli,jesús antonio marcial liparoli
Jesus Antonio Quiñones Loeza,jesus antonio quiñones loeza
Jesus Armando López Velarde Campa,jesus armando lópez velarde campa
Jesus Arnulfo Castillo Milla,jesus arnulfo castillo milla
Jesús Baltazar Rendón Sánchez,jesús baltazar rendón sánchez
Jesus Cuauhtémoc Velasco Oliva,jesus cuauhtémoc velasco oliva
Jesús Eduardo Rocha Álvarez,jesús eduardo rocha álvarez
Jesús Enrique Hernández CH.,jesús enrique hernández ch.
Jesús Epifanio Salido Pavlovich,jesús epifanio salido pavlovich
JESÚS EVER MEJORADO REYES,jesús ever mejorado reyes
Jesus Gerardo Silva Campos,jesus gerardo silva campos
Jesús Guillermo Gutiérrez Ruiz Esparza,jesús guillermo gutiérrez ruiz esparza
Jesús José Díaz Monárrez,jesús josé díaz monárrez
Jesús López Rodríguez,jesús lópez rodríguez
Jesús Marcial Liborio,jesús marcial liborio
Jesús Morquecho Valdez,jesús morquecho valdez
Jesus Pablo Peralta García,jesus pablo peralta garcía
Jesús Portillo Herrera,jesús portillo herrera
Jesús Ricardo Enríquez Fuentes,jesús ricardo enríquez fuentes
Jesús Salvador Zaldívar Benavides,jesús salvador zaldívar benavides
Jesus Sanchez Isidro,jesus sanchez isidro
Jesus Sesmas Suárez,jesus sesmas suárez
Jesús Vázquez Viveros,jesús vázquez viveros
Jesús Villarreal Macías,jesús villarreal macías
Jiménez Rodríguez Víctor Román,jiménez rodríguez víctor román
Jocías Catalán Valdez,jocías catalán valdez
Joel Padilla Peña,joel padilla peña
Joel Salomón Avitia,joel salomón avitia
Jonathan Moises Ensaldo Muñoz,jonathan moises ensaldo muñoz
Jorge Agustín Zepeda Cruz,jorge agustín zepeda cruz
JORGE ALBERTO CLEMENTE MAGDALENO,jorge alberto clemente magdaleno
Jorge Alberto Lazo Zentella,jorge alberto lazo zentella
Jorge Alberto Nordhausen Carrizales,jorge alberto nordhausen carrizales
Jorge Arana Arana,jorge arana arana
Jorge Arena Elizondo,jorge arena elizondo
Jorge Camacho Peñaloza,jorge camacho peñaloza
Jorge Carlos Soto Prieto,jorge carlos soto prieto
Jorge Eduaro De la cruz Niero,jorge eduaro de la cruz niero
JORGE ENRIQUE HERNANDEZ BIELMA,jorge enrique hernandez bielma
Jorge Enrique Videgaray Verdad,jorge enrique videgaray verdad
Jorge Gómez Carranco,jorge gómez carranco
Jorge José Saénz de Miera Lara,jorge josé saénz de miera lara
Jorge Luis Coriche Avilés,jorge luis coriche avilés
Jorge Luis Márquez Cazares,jorge luis márquez cazares
Jorge Mario Quintana Silveyra,jorge mario quintana silveyra
Jorge Miguel García Vázquez,jorge miguel garcía vázquez
Jorge Omar Velázquez Ruiz,jorge omar velázquez ruiz
JORGE PÉREZ ROMERO,jorge pérez romero
Jorge Romero Herrera,jorge romero herrera
Jorge Rosas Ruíz,jorge rosas ruíz
Jorge Salazar Marchán,jorge salazar marchán
Jorge Torres Mercado,jorge torres mercado
Jorge Varona Rodríguez,jorge varona rodríguez
Jose Abraham Mendivil López,jose abraham mendivil lópez
José Adalberto Canto Sosa,josé adalberto canto sosa
José Adrián Orozco Neri,josé adrián orozco neri
JOSE AGUSTIN LOPEZ LARA,jose agustin lopez lara
Jose Alberto Benavides Castañeda,jose alberto benavides castañeda
José Alberto Couttolenc Güemez,josé alberto couttolenc güemez
José Alfonso Mollinedo Zurita,josé alfonso mollinedo zurita
Jose Alfonso Suarez del Real y Aguilera,jose alfonso suarez del real y aguilera
José Alfredo Martínez Núñez,josé alfredo martínez núñez
José Alfredo Torres Huitrón,josé alfredo torres huitrón
José Ángel Beltrán Félix,josé ángel beltrán félix
JOSE ANGEL CORDOVA TOLEDO,jose angel cordova toledo
José Ángel Pérez García,josé ángel pérez garcía
José Ángel Rochín López,josé ángel rochín lópez
JOSE ANTONIO ALBORES TRUJILLO,jose antonio albores trujillo
Jose Antonio López Lozano,jose antonio lópez lozano
José Antonio Orozco Sandoval,josé antonio orozco sandoval
José Antonio Pablo De La Vega Asmitia,josé antonio pablo de la vega asmitia
José Armando Gutiérrez Jiménez,josé armando gutiérrez jiménez
José Atila Morales Ruiz,josé atila morales ruiz
José Bravo Negrin,josé bravo negrin
José Carlos Serrato Castell,josé carlos serrato castell
José Chedraui Budib,josé chedraui budib
José de Jesús Romero López,josé de jesús romero lópez
José de Jesús Villanueva Gutiérrez,josé de jesús villanueva gutiérrez
José Domingo Esquitín Lastiri,josé domingo esquitín lastiri
José Donaldo Ricardo Zuñiga,josé donaldo ricardo zuñiga
José Encarnación Alfaro Cázares,josé encarnación alfaro cázares
José Enrique Juárez Ramírez,josé enrique juárez ramírez
José Ernesto Gil Elorduy,josé ernesto gil elorduy
José Esteban Medina Casanova,josé esteban medina casanova
José Everardo López Córdova,josé everardo lópez córdova
José Felipe Garzón López,josé felipe garzón lópez
José Fernando Mercado Guaida,josé fernando mercado guaida
José Francisco Vázquez Rodríguez,josé francisco vázquez rodríguez
JOSÉ GABRIEL RODRÍGUEZ VILLA,josé gabriel rodríguez villa
Jose García Mora,jose garcía mora
José Gaudencio Víctor León Castañeda,josé gaudencio víctor león castañeda
José Gerardo Zavala Procell,josé gerardo zavala procell
José Germán Jiménez García,josé germán jiménez garcía
José Gilberto Gutiérrez Gutiérrez,josé gilberto gutiérrez gutiérrez
Jose Gilberto Temoltzin Martínez,jose gilberto temoltzin martínez
José Gonzalez Ruiz,josé gonzalez ruiz
José Gonzalo Espina Miranda,josé gonzalo espina miranda
Jose Guadalupe  Guzman Chi,jose guadalupe  guzman chi
José Guadalupe Benavides Florián,josé guadalupe benavides florián
José Guillermo Aréchiga Santamaría,josé guillermo aréchiga santamaría
JOSE GUILLERMO TOLEDO MOGUEL,jose guillermo toledo moguel
José Heriberto López Briones,josé heriberto lópez briones
José Ignacio Pichardo Lechuga,josé ignacio pichardo lechuga
José Isidro Moreno Arcega,josé isidro moreno arcega
José Ismael Enrique Canul Canul,josé ismael enrique canul canul
José Israel Sandoval Macías,josé israel sandoval macías
José Javier Vázquez Sánchez,josé javier vázquez sánchez
José Juan Espinosa Torres,josé juan espinosa torres
José Juan Viggiano Austria,josé juan viggiano austria
José Juventino López Ayala,josé juventino lópez ayala
José Kirsch Sánchez,josé kirsch sánchez
José Lauro Sánchez López,josé lauro sánchez lópez
José Lorenzo Villegas Vázquez,josé lorenzo villegas vázquez
José Luis Ávila López,josé luis ávila lópez
José Luis Castillo Godínez,josé luis castillo godínez
José Luis Enríquez Ambell,josé luis enríquez ambell
José Luis Figueroa Rangel,josé luis figueroa rangel
José Luis Marcos León Perea,josé luis marcos león perea
José Luis Martínez Bocanegra,josé luis martínez bocanegra
José Luis Medina Lizalde,josé luis medina lizalde
José Ma. González Nava,josé ma. gonzález nava
Jose Manuel Ballesteros López,jose manuel ballesteros lópez
Jose Manuel Delgadillo Moreno,jose manuel delgadillo moreno
José Manuel Lizárraga Pérez,josé manuel lizárraga pérez
José Manuel Manrique Mendoza,josé manuel manrique mendoza
José Manuel Osuna Lizárraga,josé manuel osuna lizárraga
José Manuel Sánchez Martínez,josé manuel sánchez martínez
José Martín Rivera Barrios,josé martín rivera barrios
José Osvaldo Ávila Tizcareño,josé osvaldo ávila tizcareño
José Pedro Antolín Flores Valerio,josé pedro antolín flores valerio
Jose Pedro Kumamoto Aguilar,jose pedro kumamoto aguilar
José Ramón Balderrama Palafox,josé ramón balderrama palafox
José Ramón Ruíz Torres,josé ramón ruíz torres
José Roberto Arenas Martínez,josé roberto arenas martínez
José Rodolfo Lizárraga Russell,josé rodolfo lizárraga russell
José Rodulfo Muñoz Campero,josé rodulfo muñoz campero
José Rubén Figueroa Smutny,josé rubén figueroa smutny
José Santos Aispuro Calderón,josé santos aispuro calderón
José Silvino Zavala Araujo,josé silvino zavala araujo
José Venancio Ojeda Hoyos,josé venancio ojeda hoyos
José Verduzco Moreno,josé verduzco moreno
Josefina Aide Flores Delgado,josefina aide flores delgado
Josefina Buxadé Castelán,josefina buxadé castelán
Josefina Moreno Pérez,josefina moreno pérez
Juan Abad de Jesús,juan abad de jesús
Juan Antonio Córdova Orueta,juan antonio córdova orueta
Juan Antonio Esparza Alonso,juan antonio esparza alonso
Juan Antonio Méndez Rodríguez,juan antonio méndez rodríguez
Juan Antonio Vera Carrizal,juan antonio vera carrizal
Juan Ascención Calyecac Cortero,juan ascención calyecac cortero
Juan Azael Estrada Barbosa ,juan azael estrada barbosa 
Juan Bautista Olivera Guadalupe,juan bautista olivera guadalupe
Juan Carlos Anguiano Orozco,juan carlos anguiano orozco
Juan Carlos Damian Vera,juan carlos damian vera
Juan Carlos Guillén Hernández,juan carlos guillén hernández
Juan Carlos Lavalle Pinzón,juan carlos lavalle pinzón
Juan Carlos Muñoz Márquez,juan carlos muñoz márquez
Juan Carlos Natale López,juan carlos natale lópez
Juan Carlos Palafox Contreras,juan carlos palafox contreras
Juan Carlos Regis Adame,juan carlos regis adame
Juan Carlos Robles Acosta,juan carlos robles acosta
Juan Carlos Sánchez García,juan carlos sánchez garcía
Juan Cuitláhuac Avalos Méndez,juan cuitláhuac avalos méndez
Juan Demetrio Sánchez Granados,juan demetrio sánchez granados
Juan Eleuterio Muñoz Rivera,juan eleuterio muñoz rivera
Juan Francisco Jiménez Gallegos,juan francisco jiménez gallegos
Juan Francisco Ovalle García,juan francisco ovalle garcía
Juan Gabriel orchado,juan gabriel orchado
Juan Gabriel Villafaña Covarrubias,juan gabriel villafaña covarrubias
Juan Jaffet Millán Márquez,juan jaffet millán márquez
Juan Jesús Briones Monzón,juan jesús briones monzón
Juan José Alvarez Brunel,juan josé alvarez brunel
Juan José García López,juan josé garcía lópez
Juan José Lam Angulo,juan josé lam angulo
Juan José Moreno Sada,juan josé moreno sada
Juan Luis Iñiguez Hernández,juan luis iñiguez hernández
Juan Manuel Armenta Montaño,juan manuel armenta montaño
Juan Manuel De Unanue Abascal,juan manuel de unanue abascal
Juan Manuel Del Castillo González,juan manuel del castillo gonzález
Juan Manuel Fócil Pérez,juan manuel fócil pérez
Juan Manuel Gutiérrez Ramírez,juan manuel gutiérrez ramírez
Juan Manuel Jiménez García,juan manuel jiménez garcía
Juan manuel Méndez Noriega,juan manuel méndez noriega
Juan Manuel Zepeda Hernandez,juan manuel zepeda hernandez
Juan Mendoza Reyes,juan mendoza reyes
Juan Nicolás Callejas Roldán,juan nicolás callejas roldán
Juan Pablo De La Fuente Utrilla,juan pablo de la fuente utrilla
Juan Pablo Yamuni Robles,juan pablo yamuni robles
Juan Quiñonez Ruiz,juan quiñonez ruiz
Juan Rendón López,juan rendón lópez
Juana Alicia Espinosa de los Monteros Ortiz,juana alicia espinosa de los monteros ortiz
Juana Andrés Rivera,juana andrés rivera
Juana Bonilla Jaime,juana bonilla jaime
Juana Ceballos Guzman,juana ceballos guzman
Juana de Guadalupe Cruz Bustos,juana de guadalupe cruz bustos
Juana Maria Juárez López,juana maria juárez lópez
Juanita Arcelia Cruz Cruz,juanita arcelia cruz cruz
Judith Pineda Andrade,judith pineda andrade
Judith Torres Vera,judith torres vera
Julia Licet Jiménez Angulo,julia licet jiménez angulo
Julia Olguín Serna,julia olguín serna
Julián Peña Hidalgo,julián peña hidalgo
Julián Rendón Tapia,julián rendón tapia
Julián Salvador Reyes,julián salvador reyes
Julieta Fernández Márquez,julieta fernández márquez
Julio Alberto Sansores Sansores,julio alberto sansores sansores
Julio César Álvarez García,julio césar álvarez garcía
Julio César Hernández Mejía,julio césar hernández mejía
Julio Ramírez Fernández,julio ramírez fernández
Karen Castrejón Trujillo,karen castrejón trujillo
Karina García Gutiérrez,karina garcía gutiérrez
Karina Padilla Ávila,karina padilla ávila
Karla Alejandra Lanuza Hernández,karla alejandra lanuza hernández
Karla Valeria Gomez Blancas,karla valeria gomez blancas
Karmen Aida Díaz Brown Ojeda,karmen aida díaz brown ojeda
Kehila Abigai Ku Escalante,kehila abigai ku escalante
Kitty Gutiérrez Mazón,kitty gutiérrez mazón
Laura Arizmendi Campos,laura arizmendi campos
Laura Barrera Fortoul,laura barrera fortoul
Laura Enriqueta Domínguez Esquivel,laura enriqueta domínguez esquivel
Laura Galván Uzeta,laura galván uzeta
Laura Iraís Ballesteros,laura iraís ballesteros
Laura Mónica Marín Franco,laura mónica marín franco
Laura Olimpia Ermila Baqueiro Ramos,laura olimpia ermila baqueiro ramos
Laura Vignon Carreño,laura vignon carreño
Lázaro Salvador Méndez Acametitla,lázaro salvador méndez acametitla
Le Roy Barragán Ocampo,le roy barragán ocampo
Ledezma López Ana Cristina,ledezma lópez ana cristina
Leila Patricia Gómez Marín,leila patricia gómez marín
Leobardo Alcántara M.,leobardo alcántara m.
Leobardo Soto Martínez,leobardo soto martínez
León Leonardo Lucas,león leonardo lucas
Leonardo Benitez Gregorio,leonardo benitez gregorio
Leonardo Montañez Castro,leonardo montañez castro
Leonardo Pérez Calva,leonardo pérez calva
Leonel Luna Estrada,leonel luna estrada
Leslie Jiménez Valencia,leslie jiménez valencia
Leslie Vibsania Mendoza Zavaleta,leslie vibsania mendoza zavaleta
Leticia Araceli Mercado Herrera,leticia araceli mercado herrera
Leticia Calderon Ramírez,leticia calderon ramírez
Leticia del Rosario Enriquez Cachon,leticia del rosario enriquez cachon
Leticia Mejía García,leticia mejía garcía
Leticia Ortega Máynez,leticia ortega máynez
Leticia Palacios Caballero,leticia palacios caballero
Leticia Rubio Montes,leticia rubio montes
Leticia Villegas Nava,leticia villegas nava
Leticia Zepeda Martínez ,leticia zepeda martínez 
Leticia Zepeda Mesina,leticia zepeda mesina
Libia Dennise Garcia Muñoz Ledo,libia dennise garcia muñoz ledo
Liliana Araceli Ibarra Rivera,liliana araceli ibarra rivera
Liliana Guadalupe Morones Vargas,liliana guadalupe morones vargas
Límbano Domínguez Román,límbano domínguez román
Lina Acosta Cid,lina acosta cid
Lisette López Godínez,lisette lópez godínez
Lizeth Marlene Sandoval Colindres,lizeth marlene sandoval colindres
Lizeth Sánchez García,lizeth sánchez garcía
Llergo Latournerie Mario Rafael,llergo latournerie mario rafael
López Hernández Rosalinda,lópez hernández rosalinda
Lorena Esperanza Oropeza Muñoz,lorena esperanza oropeza muñoz
Lorenzo Roberto Gusmán Rodríguez,lorenzo roberto gusmán rodríguez
Lorenzo Salvador Chávez Salazar,lorenzo salvador chávez salazar
Lourdes García González,lourdes garcía gonzález
Lourdes Valdez Cuevas,lourdes valdez cuevas
Lucero de Lourdes Espindola  De la Vega,lucero de lourdes espindola  de la vega
Lucero Guadalupe Sánchez López,lucero guadalupe sánchez lópez
Lucia Estela Hernández,lucia estela hernández
Luciano Cornejo Barrera,luciano cornejo barrera
Luciano Jimeno Huanosta,luciano jimeno huanosta
Luciano Tlacomulco Oliva,luciano tlacomulco oliva
Lucio Rangel Mendoza,lucio rangel mendoza
Luis Acosta Jaime,luis acosta jaime
Luis Alberto Campos Campos,luis alberto campos campos
Luis Alberto Marroquín Morato,luis alberto marroquín morato
Luis Alberto Mendoza Acevedo,luis alberto mendoza acevedo
Luis Alejandro García Rosas,luis alejandro garcía rosas
Luis Alfonso Arana Castro,luis alfonso arana castro
Luis Alfredo Carrazco Agramón,luis alfredo carrazco agramón
Luis Antonio Ramírez Pineda,luis antonio ramírez pineda
Luis Antonio Rangel Méndez,luis antonio rangel méndez
Luis Ayala Campos,luis ayala campos
Luis Daniel Olmos Barradas,luis daniel olmos barradas
Luis Enrique Baños Gómez,luis enrique baños gómez
LUIS ENRIQUE BENITEZ OJEDA,luis enrique benitez ojeda
Luis Enrique Martínez Ventura,luis enrique martínez ventura
Luis Ernesto Nieves Robinson Bours,luis ernesto nieves robinson bours
Luis Felipe Luna Obregón,luis felipe luna obregón
Luis Fernando Antero Valle,luis fernando antero valle
LUIS FERNANDO CASTELLANOS  CAL Y MAYOR,luis fernando castellanos  cal y mayor
Luis Fernando Rodríguez Giner,luis fernando rodríguez giner
Luis Fernando Sandoval Morales,luis fernando sandoval morales
Luis Gerardo Angeles Herrera,luis gerardo angeles herrera
Luis Gerardo Quijano Morales,luis gerardo quijano morales
Luis Gerardo Serrato Castell,luis gerardo serrato castell
Luis Gilberto Marrón Agustín ,luis gilberto marrón agustín 
Luis Humberto Castillo Valenzuela,luis humberto castillo valenzuela
Luis Humberto Ladino Ochoa,luis humberto ladino ochoa
Luis Iván Gurrola Vega,luis iván gurrola vega
Luis Javier Mendoza Valdez,luis javier mendoza valdez
Luis Justo Bautista,luis justo bautista
Luis Manuel Mejía Barreñada,luis manuel mejía barreñada
Luis Ramón Peralta May,luis ramón peralta may
Luis Vargas Gutierrez,luis vargas gutierrez
Luis Vega Cardón,luis vega cardón
Luisa Ángela Soto Maldonado,luisa ángela soto maldonado
Luisa Ayala Mondragón,luisa ayala mondragón
Luisa Yanira Alpízar Castellanos,luisa yanira alpízar castellanos
Luz Daniel Campos Lango,luz daniel campos lango
Luz Elena Govea López,luz elena govea lópez
Luz Margarita Chávez García,luz margarita chávez garcía
Lyndiana Elizabeth Bugarín Cortés,lyndiana elizabeth bugarín cortés
Ma Evelia Rodríguez García,ma evelia rodríguez garcía
Ma. Angelina Hernández Solís,ma. angelina hernández solís
Ma. Antonieta Puebla Vega,ma. antonieta puebla vega
Ma. de Jesus Cisneros Martínez,ma. de jesus cisneros martínez
Ma. De Jesús Melgar Vásquez,ma. de jesús melgar vásquez
Ma. De las Nieves García Fernandez,ma. de las nieves garcía fernandez
Ma. de los Angeles Salomón Galeana,ma. de los angeles salomón galeana
Ma. del Carmen Cabrera Lagunas,ma. del carmen cabrera lagunas
Ma. del Carmen Zuñiga Hernandez,ma. del carmen zuñiga hernandez
Ma. del Pilar Vadillo Ruiz,ma. del pilar vadillo ruiz
Ma. Elena Nava Martínez,ma. elena nava martínez
Ma. Estela Cortés Meléndez,ma. estela cortés meléndez
Ma. Guadalupe Adabache Reyes,ma. guadalupe adabache reyes
Ma. Guadalupe González Martínez,ma. guadalupe gonzález martínez
Ma. Guadalupe Sánchez Centeno,ma. guadalupe sánchez centeno
Ma. Guadalupe Torres Rea,ma. guadalupe torres rea
Ma. Isabel Aguilar Morales,ma. isabel aguilar morales
Ma. Luisa Vargas Mejía,ma. luisa vargas mejía
Ma. Mercedes Rojas Saldaña,ma. mercedes rojas saldaña
Mabel Gutiérrez Chávez,mabel gutiérrez chávez
Magdalena Camacho Díaz,magdalena camacho díaz
Magdalena González Esteban,magdalena gonzález esteban
Maiella Martha Gabriela Gómez Maldonado,maiella martha gabriela gómez maldonado
Manlio Beltrán Ramos,manlio beltrán ramos
Manuel Alberto Ortega LLiteras,manuel alberto ortega lliteras
Manuel Alejandro Robles Gómez,manuel alejandro robles gómez
Manuel Andrade Díaz,manuel andrade díaz
Manuel Andrés García Díaz,manuel andrés garcía díaz
Manuel Anthony Domínguez Vargas,manuel anthony domínguez vargas
Manuel Fermín Rivera Peralta,manuel fermín rivera peralta
Manuel Francisco Martínez Martínez,manuel francisco martínez martínez
Manuel Granados Covarrubias,manuel granados covarrubias
Manuel Herrera Rojas,manuel herrera rojas
Manuel Herrera Ruiz,manuel herrera ruiz
Manuel Jesús Zavala Salazar,manuel jesús zavala salazar
Manuel Navarro González,manuel navarro gonzález
Manuel Palacios Rodríguez,manuel palacios rodríguez
Manuel Pérez Morales,manuel pérez morales
Manuel Pozos Cruz,manuel pozos cruz
